depth,seed,round,test_acc,test_f1,test_auc,cumulative_bytes,n_params
3,3,3,0.3949258018190522,0.3952153110047847,0.757738224079655,28032,73
3,3,4,0.6802297750119675,0.5269121813031161,0.8170354706760573,37376,73
3,3,5,0.6247008137865007,0.5037974683544304,0.8284908728639061,46720,73
3,3,6,0.7079942556247009,0.5573294629898403,0.8466979692191567,56064,73
3,3,7,0.7032072762087123,0.5474452554744526,0.8341769482231363,65408,73
3,3,8,0.7094303494494973,0.5513673318551368,0.81694389405973,74752,73
3,3,9,0.7060794638583054,0.5485294117647059,0.8070022810902613,84096,73
3,3,10,0.6874102441359502,0.5339043540328337,0.7988727751044804,93440,73
3,3,11,0.6778362853039732,0.5283812193412754,0.7856219162268214,102784,73
3,3,12,0.6735280038295836,0.5250696378830083,0.7871703935574462,112128,73
3,3,13,0.6807084729535663,0.5299506694855532,0.7870926921860171,121472,73
3,3,14,0.6716132120631881,0.5255878284923928,0.7858536328166192,130816,73
3,3,15,0.6649114408808042,0.5218579234972678,0.7707421035981286,140160,73
3,3,16,0.6778362853039732,0.5290412876137159,0.786451655871726,149504,73
3,3,17,0.6649114408808042,0.521203830369357,0.7853194358880433,158848,73
3,3,18,0.6907611297271422,0.5365853658536586,0.7903394994921659,168192,73
3,3,19,0.6950694112015319,0.5394070860448301,0.7989643517208078,177536,73
3,3,20,0.6898037338439444,0.5358166189111748,0.7886938954472547,186880,73
3,3,21,0.6998563906175204,0.5433357611070648,0.7899496051105303,196224,73
3,3,22,0.6917185256103399,0.5366906474820143,0.7920419920411595,205568,73
3,3,23,0.6859741503111536,0.5340909090909091,0.7796833114104464,214912,73
3,3,24,0.6874102441359502,0.5352313167259787,0.7894709091615468,224256,73
3,3,25,0.6773575873623744,0.5273492286115007,0.7863517541084601,233600,73
3,4,1,0.286261369076113,0.21319261213720317,0.3083689927127214,9344,73
3,4,2,0.5955002393489708,0.17075564278704614,0.4149808244115509,18688,73
3,4,3,0.7108664432742939,0.29603729603729606,0.6280060718071675,28032,73
3,4,4,0.7515557683101962,0.49951783992285437,0.762215765608263,37376,73
3,4,5,0.7108664432742939,0.5382262996941896,0.7699095889042441,46720,73
3,4,6,0.6945907132599329,0.5288035450516987,0.7801328693451439,56064,73
3,4,7,0.7151747247486836,0.5369649805447471,0.7791949027900342,65408,73
3,4,8,0.685016754427956,0.5183016105417276,0.7808793575206602,74752,73
3,4,9,0.7094303494494973,0.5341519570222564,0.7764365041042974,84096,73
3,4,10,0.6835806606031594,0.5213613323678494,0.7827733284492472,93440,73
3,4,11,0.713738630923887,0.5371517027863777,0.7812692519022959,102784,73
3,4,12,0.6787936811871709,0.5189964157706093,0.7843065430104842,112128,73
3,4,13,0.7151747247486836,0.539829853054911,0.7865307447676452,121472,73
3,4,14,0.7123025370990905,0.5351894818252126,0.7833241756717007,130816,73
3,4,15,0.7075155576831019,0.5310821181887951,0.7841442026451767,140160,73
3,4,16,0.6950694112015319,0.5249813571961223,0.7765835817002169,149504,73
3,4,17,0.6596457635232168,0.5045296167247387,0.7748644388573458,158848,73
3,4,18,0.6706558161799904,0.5141242937853108,0.7815620195696454,168192,73
3,4,19,0.6735280038295836,0.5114613180515759,0.7753139967920435,177536,73
3,4,20,0.6931546194351365,0.5297138664710198,0.7836113932410906,186880,73
3,4,21,0.6572522738152226,0.5068870523415978,0.785911908845191,196224,73
3,4,22,0.6701771182383915,0.5123849964614295,0.784256592128851,205568,73
3,4,23,0.6524652943992341,0.5013736263736264,0.7855608651492699,214912,73
3,4,24,0.6787936811871709,0.5183058147882269,0.7881694111901075,224256,73
3,4,25,0.67496409765438,0.511861969805895,0.7874784239941833,233600,73
4,0,1,0.2369554810914313,0.18256410256410258,0.25535306948167635,12416,97
4,0,2,0.3949258018190522,0.19490445859872613,0.3279455757394118,24832,97
4,0,3,0.40689325035902346,0.32109589041095893,0.47788008458349285,37248,97
4,0,4,0.5438008616562949,0.44881434355118566,0.6869578248056077,49664,97
4,0,5,0.6692197223551939,0.516445066480056,0.7732743357920266,62080,97
4,0,6,0.7127812350406894,0.5475113122171946,0.7788410840451333,74496,97
4,0,7,0.6902824317855433,0.5335255948089401,0.7825651997757761,86912,97
4,0,8,0.7075155576831019,0.5470719051148999,0.7835975179961925,99328,97
4,0,9,0.6811871708951651,0.5289957567185289,0.7841095145329315,111744,97
4,0,10,0.7012924844423168,0.5445255474452555,0.7866944726574424,124160,97
4,0,11,0.7027285782671134,0.545054945054945,0.7886619823839891,136576,97
4,0,12,0.6984202967927238,0.5421511627906976,0.7888007348329699,148992,97
4,0,13,0.6764001914791766,0.5259467040673211,0.7809501212696405,161408,97
4,0,14,0.6797510770703686,0.5278757939308398,0.7854679010084528,173824,97
4,0,15,0.6869315461943514,0.5335235378031383,0.7891531660533809,186240,97
4,0,16,0.6888463379607468,0.5343839541547278,0.7918338633676885,198656,97
4,0,17,0.6831019626615605,0.5298295454545454,0.7934711422656611,211072,97
4,0,18,0.685016754427956,0.5320056899004267,0.7879696076635754,223488,97
