model,qubits,seed,round,test_acc,test_f1,test_auc,round_bytes,cumulative_bytes,wall_seconds,n_params
VQC,4.0,4,17,0.6227860220201054,0.3746031746031746,0.6623903161890807,3200,54400,0.35784339904785156,25
VQC,4.0,4,18,0.623743417903303,0.38304552590266877,0.6594029759625257,3200,57600,0.364879846572876,25
VQC,4.0,4,19,0.5945428434657731,0.3884476534296029,0.6760393945953146,3200,60800,0.3424673080444336,25
VQC,4.0,4,20,0.6500718046912398,0.3983539094650206,0.680543299089229,3200,64000,0.3876211643218994,25
VQC,4.0,4,21,0.6156055528961225,0.3865546218487395,0.6582194175727202,3200,67200,0.35726380348205566,25
VQC,4.0,4,22,0.6060315940641455,0.38536221060492903,0.6568429932788312,3200,70400,0.3608064651489258,25
VQC,4.0,4,23,0.6050741981809479,0.38294689603590126,0.6536849875400301,3200,73600,0.35057783126831055,25
VQC,4.0,4,24,0.5902345619913835,0.37790697674418605,0.6537959894992146,3200,76800,0.3832218647003174,25
VQC,4.0,4,25,0.6184777405457157,0.3883346124328473,0.6575617309645515,3200,80000,0.381727933883667,25
MatchedMLP,4.0,4,1,0.2087123025370991,0.3453465346534653,0.8411381585884992,3200,3200,0.022203683853149414,25
MatchedMLP,4.0,4,2,0.39348970799425564,0.4065573770491803,0.8446021134773029,3200,6400,0.022330522537231445,25
MatchedMLP,4.0,4,3,0.5136428913355673,0.45493562231759654,0.8473390055334477,3200,9600,0.02526378631591797,25
MatchedMLP,4.0,4,4,0.6055528961225467,0.5024154589371981,0.848480938188559,3200,12800,0.02913641929626465,25
MatchedMLP,4.0,4,5,0.6381043561512686,0.5196950444726811,0.8500613285824494,3200,16000,0.026231050491333008,25
MatchedMLP,4.0,4,6,0.6582096696984203,0.5321100917431193,0.8508043479467412,3200,19200,0.029378414154052734,25
MatchedMLP,4.0,4,7,0.6797510770703686,0.5470548408937035,0.8513517263579702,3200,22400,0.03115057945251465,25
MatchedMLP,4.0,4,8,0.687888942077549,0.5509641873278237,0.8519677872314446,3200,25600,0.029659032821655273,25
MatchedMLP,4.0,4,9,0.6965055050263284,0.5578800557880056,0.8520912769110374,3200,28800,0.030327320098876953,25
MatchedMLP,4.0,4,10,0.7036859741503112,0.5631616090331687,0.8521620406600176,3200,32000,0.027614116668701172,25
MatchedMLP,4.0,4,11,0.7123025370990905,0.5697924123120973,0.8523479689416518,3200,35200,0.028714895248413086,25
MatchedMLP,4.0,4,12,0.7127812350406894,0.5677233429394812,0.8521231899743031,3200,38400,0.030161142349243164,25
MatchedMLP,4.0,4,13,0.7146960268070848,0.5674891146589259,0.8521481654151196,3200,41600,0.029448747634887695,25
MatchedMLP,4.0,4,14,0.7175682144566778,0.568081991215227,0.8521537155130788,3200,44800,0.028422117233276367,25
